agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,dual_rate_mean,dual_rate_std,dual_rate_cond_mean,dual_rate_cond_std,E_abs_mean,expansions_mean,revisions_mean
Dot,unstructured,0.0,100,-0.45060454476849726,8.554959319148447,0.0,0.0,-0.45060454476849726,8.554959319148447,0.09,0.0,-0.5406045447684972,8.554959319148447,0.0,0.0,0.0,0.0,0.0,4.9568195526690095,0.0,0.0
Dot,unstructured,0.0,200,0.21019090382409458,8.299393470080975,0.0,0.0,0.21019090382409458,8.299393470080975,0.09,0.0,0.12019090382409468,8.299393470080975,0.0,0.0,0.0,0.0,0.0,4.971067206094232,0.0,0.0
Dot,unstructured,1.0,20,-0.2661271282424226,10.173465500301893,66.82114710527166,106.37263413669649,-67.0872742335141,105.88264115592213,0.09,0.0,-67.17727423351408,105.8826411559221,10.69,0.133625,0.06637471584903702,0.13198129456498112,0.06927662021788819,4.52044922003304,0.0,0.0
Dot,unstructured,1.0,50,-1.1549697141381992,9.745336218818345,76.24180724125736,127.64748917592718,-77.39677695539557,128.50231832115853,0.09,0.0,-77.48677695539556,128.50231832115853,3.98,0.049749999999999996,0.03290347837066606,0.05037553856649447,0.03495509988457595,4.486272651594127,0.0,0.0
Dot,unstructured,1.0,100,-0.18695442678081126,9.483461103124796,78.53881126106691,93.14251303702453,-78.72576568784773,94.4992652778785,0.09,0.0,-78.81576568784773,94.4992652778785,4.32,0.054000000000000006,0.03030151511363447,0.05377822380178209,0.03150131783191056,4.85649874299408,0.0,0.0
Dot,unstructured,1.0,200,0.2940526371869227,8.93765597087671,88.23366442425396,111.37059061485726,-87.93961178706704,111.97770892153252,0.09,0.0,-88.02961178706704,111.9777089215325,3.95,0.049375,0.0289425916446871,0.0489392331771861,0.028538231763413042,4.892493068927396,0.0,0.0
Linear,structured,0.0,20,88.58802767149729,34.58993747728223,0.0,0.0,88.58802767149729,34.58993747728223,2.2740299999999998,0.044999092022265104,86.31399767149729,34.58654494284825,0.0,0.0,0.0,0.0,0.0,33.85417280693437,0.0,0.0
Linear,structured,0.0,50,88.1069382566505,34.06407189898892,0.0,0.0,88.1069382566505,34.06407189898892,5.0815,0.12052909452187312,83.0254382566505,34.074447925915294,0.0,0.0,0.0,0.0,0.0,25.394887551805112,0.0,0.0
Linear,structured,0.0,100,91.50081901906391,35.593345517919154,0.0,0.0,91.50081901906391,35.593345517919154,9.743630000000001,0.25392851356238044,81.75718901906392,35.59649771718817,0.0,0.0,0.0,0.0,0.0,30.87219704998655,0.0,0.0
Linear,structured,0.0,200,83.62154975122824,31.68669407928185,0.0,0.0,83.62154975122824,31.68669407928185,19.16421,0.4254886268940237,64.45733975122825,31.730451776050188,0.0,0.0,0.0,0.0,0.0,30.113688065660064,0.0,0.0
Linear,structured,1.0,20,70.60788585037615,45.560843870679896,1203.4127260978191,1626.0379251888116,-1132.8048402474428,1616.3126740602818,2.2784,0.0480817905849874,-1135.083240247443,1616.3050156884433,17.96,0.2245,0.3711371754894718,0.2293287955393123,0.3789021159947184,13.19161567505662,0.0,0.0
Linear,structured,1.0,50,61.861320659792206,40.63150082787902,981.3144696400882,1471.1211438634696,-919.453148980296,1462.1618466488414,5.07121,0.12561230196139386,-924.5243589802959,1462.1606040528225,9.16,0.11449999999999999,0.28842199547667563,0.11721986675435721,0.2953726493377383,10.67050708488885,0.0,0.0
Linear,structured,1.0,100,64.36379507041296,40.086975452333455,1071.0991896096825,1423.1618481749592,-1006.7353945392695,1412.2036627415685,9.78719,0.2258840631828638,-1016.5225845392696,1412.1915016405803,11.53,0.144125,0.3115690932582007,0.1468137999313011,0.31855314464381146,11.887535850333785,0.0,0.0
Linear,structured,1.0,200,48.471228946596376,52.11719056789379,977.576724067482,1554.7298024073177,-929.1054951208856,1537.3609045597523,19.170180000000002,0.44934296320946,-948.2756751208857,1537.298375918851,9.28,0.11599999999999999,0.2924992445816024,0.1175008869039147,0.29588365295441016,10.882370141770958,0.0,0.0
Linear,unstructured,0.0,20,87.48796277058267,40.30684248580247,0.0,0.0,87.48796277058267,40.30684248580247,2.2766900000000003,0.04179258428250273,85.21127277058267,40.30796677300091,0.0,0.0,0.0,0.0,0.0,29.58979591289149,0.0,0.0
Linear,unstructured,0.0,50,86.61034854685653,40.10589637615304,0.0,0.0,86.61034854685653,40.10589637615304,5.07366,0.11126301717057188,81.53668854685652,40.100087052225156,0.0,0.0,0.0,0.0,0.0,31.590992172545256,0.0,0.0
Linear,unstructured,0.0,100,97.44394034189467,42.88633512959206,0.0,0.0,97.44394034189467,42.88633512959206,9.734720000000001,0.23124843783256124,87.70922034189466,42.901939020848296,0.0,0.0,0.0,0.0,0.0,27.183310120426846,0.0,0.0
Linear,unstructured,0.0,200,95.46420894188822,44.129625201567364,0.0,0.0,95.46420894188822,44.129625201567364,18.96919,0.4961473733283346,76.49501894188822,44.240657307704645,0.0,0.0,0.0,0.0,0.0,27.656813155408987,0.0,0.0
